Size,Distribution,RangeTree Build Time (s),RangeTree Query Time (s),KDTree Build Time (s),KDTree Query Time (s)
100,random,0.000156567,3.531e-06,0.000125891,1.6619e-05
100,convex,1.3841e-05,1.164e-06,7.347e-06,4.728e-06
100,circle,0.000173667,2.285e-06,0.000111191,2.2186e-05
100,gaussian,0.000149856,6.778e-06,0.00012686,6.5766e-05
1000,random,0.00245395,6.105e-06,0.00296787,4.7998e-05
1000,convex,1.7293e-05,7.8e-07,9.746e-06,7.95e-06
1000,circle,0.00280266,3.205e-06,0.00188627,3.5246e-05
1000,gaussian,0.00249466,1.9993e-05,0.0026,0.000441178
10000,random,0.0418037,1.3874e-05,0.0408608,0.000130946
10000,convex,1.8693e-05,1.039e-06,1.0749e-05,4.487e-06
10000,circle,0.0432169,7.58e-06,0.0320894,4.7649e-05
10000,gaussian,0.0384388,0.000134152,0.040522,0.00327237
100000,random,0.557229,8.0882e-05,0.644607,0.000836221
100000,convex,3.2476e-05,1.152e-06,1.6163e-05,6.843e-06
100000,circle,0.623425,1.2138e-05,0.480722,6.6874e-05
100000,gaussian,0.5655,0.00107514,0.650832,0.0310205
